training_seed,best_epoch,minimum_validation_loss,selection_training_seconds,refit_training_seconds,test_prediction_seconds,AUROC,AUPRC,Accuracy,Precision,Recall,F1,MCC,Brier,ECE
1,98,0.47955185174942017,31.526229372015223,22.672081145923585,0.3688356429338455,0.9455639527410313,0.9581383460181844,0.8797281323877069,0.8547763666482606,0.9148936170212766,0.8838138738224379,0.7613415662331013,0.09087341459820829,0.08273524739798993
2,55,0.39027687907218933,20.898709998000413,13.053622809005901,0.32685985299758613,0.943926082412577,0.9593652318202857,0.9010047281323877,0.8974809607498535,0.9054373522458629,0.9014416004707265,0.8020409741372645,0.08174171349522852,0.06434725445984764
3,79,0.38847434520721436,26.736350036924705,18.48523510596715,0.329375664005056,0.9445212905677671,0.9587424842404323,0.9033687943262412,0.9133858267716536,0.8912529550827423,0.9021836673646425,0.8069745407729009,0.07860601014008557,0.03981915481177302
4,34,0.4027164876461029,15.494805227965117,8.457434095907956,0.32918992498889565,0.9464160714585116,0.9604178789194686,0.8968676122931442,0.8774592467678471,0.9225768321513003,0.8994526073177759,0.7947865705469411,0.08525766395937118,0.0875587151953904
5,92,0.3770691156387329,29.865688961930573,20.92330180783756,0.3325541950762272,0.9458737823382458,0.9588160745679469,0.883274231678487,0.8549534756431308,0.9231678486997635,0.8877522023302075,0.7690000997292591,0.09551450523154392,0.09817679378112176
6,130,0.3855369985103607,40.01256126398221,29.28521138592623,0.33523874008096755,0.945363803519832,0.9571635307051651,0.860224586288416,0.8196119559517567,0.9237588652482269,0.8685746040566824,0.7263369055373364,0.09877905443805404,0.09047832179939232
7,60,0.3929869830608368,21.800385371781886,14.17862435709685,0.32820431399159133,0.9484198341241498,0.9611544221365897,0.8992316784869976,0.8888888888888888,0.9125295508274232,0.900554097404491,0.7987458968647122,0.08234306655822696,0.07565409737469003
8,92,0.3849586546421051,30.205791148124263,21.12439517211169,0.3234719131141901,0.9463226335585623,0.9585642057297673,0.8853427895981087,0.8638392857142857,0.9148936170212766,0.8886337543053962,0.7720351202170328,0.08982607832498635,0.07657539332280223
9,84,0.3896482288837433,27.889325994998217,19.38334003603086,0.32042679097503424,0.9454106097949466,0.9595656722213067,0.8947990543735225,0.8821510297482837,0.9113475177304965,0.8965116279069768,0.7900309298390358,0.08417787763416387,0.06987020412834753
10,67,0.39956533908843994,23.496683122124523,16.132787146838382,0.32827827287837863,0.9480188370806297,0.961925892630357,0.891548463356974,0.8719820325659742,0.9178486997635934,0.8943276706017853,0.78418252005892,0.08918870855306471,0.09179366253326543
