task,split_mode,metric,ensemble_estimate,bootstrap_ci_2.5%,bootstrap_ci_97.5%,seed_mean,seed_standard_deviation,n_training_seeds
classification,random,AUROC,0.9751483130180127,0.9703163597711942,0.9794219529813502,0.9727997557690482,0.0011036433501831,10
classification,random,AUPRC,0.9801295208264041,0.9764455149386592,0.983422667828823,0.9782649476406036,0.0007240049975607,10
classification,random,Accuracy,0.932033096926714,0.9237588652482268,0.9403073286052008,0.9273640661938536,0.0020746467481325,10
classification,random,Precision,0.9540372670807453,0.9442743417023882,0.9638097317529633,0.9435300245345862,0.006793052054255,10
classification,random,Recall,0.9078014184397163,0.8936170212765957,0.9213947990543736,0.9092198581560282,0.0054609985933833,10
classification,random,F1,0.9303452453058751,0.921669314132024,0.9389994076557387,0.9260244037554476,0.0019538226847166,10
classification,random,MCC,0.8650826996276688,0.8484996279417086,0.8814188439050767,0.8553487402696731,0.0043192681004705,10
classification,random,Brier,0.053513402098004266,0.0482990018861378,0.0590434651081942,0.0566773433390325,0.001174504291296,10
classification,random,ECE,0.013511223697958145,0.0104966493670638,0.0226325117032697,0.0189259906451522,0.0039927593452009,10
classification,hamming,AUROC,0.9454535737638953,0.9365675508861055,0.953599306498667,0.9422679351865824,0.0024732469933302,10
classification,hamming,AUPRC,0.9610469030834775,0.9549667160145322,0.96670062305593,0.9583288332108422,0.0014423668111122,10
classification,hamming,Accuracy,0.9107565011820331,0.900997340425532,0.9202127659574468,0.905673758865248,0.0019591898960522,10
classification,hamming,Precision,0.9253365973072215,0.9133799283154124,0.9375019124847002,0.9215788974578412,0.0092513975266399,10
classification,hamming,Recall,0.8936170212765957,0.8794326241134752,0.9078014184397164,0.8869976359338061,0.0096182281582937,10
classification,hamming,F1,0.9092002405291641,0.8990915913944811,0.9191632606619844,0.9038729034319292,0.0020749645575033,10
classification,hamming,MCC,0.8219960863702718,0.8022445971638281,0.8410686845381061,0.812054390146203,0.0041104012534987,10
classification,hamming,Brier,0.08022521440559434,0.0749793299365932,0.0857322761143593,0.0823839957044996,0.0020121145855303,10
classification,hamming,ECE,0.07117332661847736,0.0659208671945887,0.0812252204116262,0.069144279998377,0.004600430024182,10
regression,random,Pearson_r,0.8829767122810381,0.8690440040615466,0.897069797225997,0.8749809525030372,0.0043848883834054,10
regression,random,Spearman_rho,0.8323019963246081,0.8164624695850916,0.848817258708061,0.8253696352789888,0.0057304910204296,10
regression,random,R2,0.7732016537481169,0.7502768957213499,0.7963073294869868,0.7596946394174697,0.0076485834476966,10
regression,random,MAE,0.188096371225964,0.1779401936876812,0.1985513631868413,0.1938719977558326,0.0035097734249615,10
regression,random,RMSE,0.2784853255284156,0.2609013016435549,0.2958282279730214,0.2866252718717966,0.0045675621435391,10
regression,hamming,Pearson_r,0.7802107951088619,0.7553851109271027,0.8044904151146164,0.7721313600380519,0.0069199866222371,10
regression,hamming,Spearman_rho,0.7713645422448923,0.7490773811811272,0.7942633842166122,0.7520359444241608,0.0141895959068951,10
regression,hamming,R2,0.5363941164139334,0.5020390127647967,0.5709390224131117,0.5273810554234012,0.025482062438418,10
regression,hamming,MAE,0.24283498887984917,0.2309598399857036,0.2556212006156111,0.2466959513459607,0.0082281798660143,10
regression,hamming,RMSE,0.39815928071571827,0.3721664299264401,0.4242798169198606,0.4018840659172705,0.0106479924950835,10
