seed,epochs_trained,best_epoch,test_Pearson_r,test_Spearman_rho,test_R2,test_MAE,test_RMSE
1,96,46,0.7657811502366827,0.7536931801469802,0.5381924313322024,0.24246247124991424,0.39738630575871364
2,108,58,0.7699198155398399,0.7262993024409602,0.5155258756197143,0.24764083334776463,0.40702179660487336
3,97,47,0.7894128657298818,0.7643038709424604,0.5424232514659149,0.24543710857356527,0.39556180292486176
4,89,39,0.7707085670985209,0.7537437435172734,0.5187180467427589,0.24747068929349295,0.4056786593091062
5,89,39,0.7757123467071804,0.7571227853265969,0.5504253445573477,0.23967003905009854,0.3920877589536651
6,106,56,0.767312576766064,0.7272128952567419,0.539505585218718,0.24214141082627968,0.39682091782200984
7,127,77,0.7679532927861233,0.7554148819454187,0.5188504188083075,0.24611784945696147,0.40562286642649154
8,104,54,0.7760062820889351,0.755520259432675,0.5524260830144601,0.24264104652606,0.3912143336276475
9,75,25,0.7692969000393075,0.7691803044497325,0.46509569924967475,0.2689715272857557,0.42768145467047325
10,91,41,0.7692098033879833,0.757868220782769,0.5326478182249137,0.2444065378497153,0.3997647630748625
