seed,epochs_trained,best_epoch,test_Pearson_r,test_Spearman_rho,test_R2,test_MAE,test_RMSE
1,169,119,0.8789541288163067,0.8264709344206097,0.7713190566569647,0.18930909467182602,0.27963875586398196
2,228,178,0.8728724030942782,0.8213806157960444,0.7595657288057699,0.1995510414304643,0.2867349020226507
3,248,198,0.8772790411932727,0.827719876662342,0.7691462019962672,0.19519738266530132,0.2809641348864272
4,164,114,0.8698131879384488,0.8305616346021478,0.7532102706819953,0.19501260794532088,0.29049985137502127
5,208,158,0.8836378080898181,0.8269453187990765,0.7661295551576566,0.188640990775201,0.2827939047440324
6,157,107,0.8708829819995925,0.8235457024307664,0.7486019717836254,0.19541396299689426,0.29319955528568664
7,251,201,0.8765417183384944,0.8315747828210251,0.7597420114971735,0.193352422052968,0.2866297679493036
8,176,126,0.8749100566218917,0.8120064483512105,0.7538249020735276,0.19742342881986483,0.2901378799971662
9,203,153,0.8750983313460086,0.8298492972524646,0.7628580897661772,0.190430135506825,0.2847649480916876
10,183,133,0.8698198675922597,0.8236417416542015,0.7525486057555404,0.19438891069366093,0.2908890185020087
